ListNumber,Block,TaskCode,Zahlenraum,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,PairId
125,8_Zahlenblick,8a_AufgabenFinden4,ZR10,Text,"Welche Aufgaben haben Ergebnis 4?",Multiple,"1+3,2+2,8-4,7-3","Welche Aufgaben haben das Ergebnis 4? (Mehrfachauswahl mit Plus und Minus)","Which equations result in 4? (multiselect including minus)",decomposition_1,,Aufgaben mit Ergebnis 4,
126,8_Zahlenblick,8b_Ueberschlagen,ZR20,Text,5 + 7 größer/kleiner 10?,Single,größer,"Ist 5 + 7 größer oder kleiner als 10? (Schätzen, nicht rechnen!)","Is 5 + 7 larger or smaller than 10? (Estimate, do not calculate!)",combined_strategy_11,,Estimation (tight time budget),
127,8_Zahlenblick,8b_Ueberschlagen,ZR10,Text,2 + 6 größer/kleiner 10?,Single,kleiner,"Ist 2 + 6 größer oder kleiner als 10?","Is 2 + 6 larger or smaller than 10?",combined_strategy_11,,Estimation,
128,8_Zahlenblick,8b_Ueberschlagen,ZR20,Text,4 + 8 größer/kleiner 10?,Single,größer,"Ist 4 + 8 größer oder kleiner als 10?","Is 4 + 8 larger or smaller than 10?",combined_strategy_11,,Estimation,
129,8_Zahlenblick,8b_Ueberschlagen,ZR20,Text,12 + 5 größer/kleiner 20?,Single,kleiner,"Ist 12 + 5 größer oder kleiner als 20?","Is 12 + 5 larger or smaller than 20?",combined_strategy_11,,Estimation,
130,8_Zahlenblick,8b_Ueberschlagen,ZR20,Text,8 + 9 größer/kleiner 20?,Single,kleiner,"Ist 8 + 9 größer oder kleiner als 20?","Is 8 + 9 larger or smaller than 20?",combined_strategy_11,,Estimation,
131,8_Zahlenblick,8b_Ueberschlagen,ZR100,Text,13 + 9 größer/kleiner 20?,Single,größer,"Ist 13 + 9 größer oder kleiner als 20?","Is 13 + 9 larger or smaller than 20?",combined_strategy_11,,Estimation across decade,
132,8_Zahlenblick,8c_Strategie_ZR20_Add,ZR20,Text,7 + 8,Single,15,"Wie viel ist 7 + 8?","What is 7 + 8?",combined_strategy_1 combined_strategy_4,,Strategy ZR20 (duplicates 3j — keep for RT consistency),
133,8_Zahlenblick,8c_Strategie_ZR20_Add,ZR20,Text,9 + 4,Single,13,"Wie viel ist 9 + 4?","What is 9 + 4?",combined_strategy_6,,Strategy ZR20 (Kraft der 10),
134,8_Zahlenblick,8c_Strategie_ZR20_Add,ZR10,Text,5 + 6,Single,11,"Wie viel ist 5 + 6?","What is 5 + 6?",combined_strategy_4 combined_strategy_2,,Strategy near-double / Kraft der 5,
135,8_Zahlenblick,8d_Strategie_ZR20_Sub,ZR20,Text,15 - 7,Single,8,"Wie viel ist 15 - 7?","What is 15 - 7?",combined_strategy_2 combined_strategy_6,,Strategy ZR20 sub mit Übergang,
136,8_Zahlenblick,8d_Strategie_ZR20_Sub,ZR20,Text,14 - 9,Single,5,"Wie viel ist 14 - 9?","What is 14 - 9?",combined_strategy_6,,Strategy ZR20 sub mit Übergang (Kraft 10),
137,8_Zahlenblick,8d_Strategie_ZR20_Sub,ZR20,Text,11 - 8,Single,3,"Wie viel ist 11 - 8?","What is 11 - 8?",combined_strategy_6 combined_strategy_8,,Strategy ZR20 sub mit Übergang,
138,8_Zahlenblick,8c_star_ZR100_Add,ZR100,Text,37 + 9,Single,46,"Wie viel ist 37 + 9?","What is 37 + 9?",combined_strategy_12 combined_strategy_6,,ZR100 Add mit Übergang (Kraft 10),
139,8_Zahlenblick,8c_star_ZR100_Add,ZR100,Text,25 + 27,Single,52,"Wie viel ist 25 + 27?","What is 25 + 27?",combined_strategy_15,,ZR100 Add 2-stellig mit Übergang,
140,8_Zahlenblick,8c_star_ZR100_Add,ZR100,Text,34 + 49,Single,83,"Wie viel ist 34 + 49?","What is 34 + 49?",combined_strategy_15,,ZR100 Add 2-stellig mit Übergang,
141,8_Zahlenblick,8d_star_ZR100_Sub,ZR100,Text,43 - 8,Single,35,"Wie viel ist 43 - 8?","What is 43 - 8?",combined_strategy_14,,ZR100 Sub mit Übergang,
142,8_Zahlenblick,8d_star_ZR100_Sub,ZR100,Text,72 - 35,Single,37,"Wie viel ist 72 - 35?","What is 72 - 35?",combined_strategy_16,,ZR100 Sub 2-stellig mit Übergang,
143,8_Zahlenblick,8d_star_ZR100_Sub,ZR100,Text,34 - 19,Single,15,"Wie viel ist 34 - 19?","What is 34 - 19?",combined_strategy_16,,ZR100 Sub 2-stellig mit Übergang,
144,8_Zahlenblick,8d_star_ZR100_Sub,ZR100,Text,62 - 59,Single,3,"Wie viel ist 62 - 59?","What is 62 - 59?",combined_strategy_7 combined_strategy_16,,ZR100 Sub mit Übergang (Konstanz der Differenz nutzbar),
145,8_Zahlenblick,8e_DoppelteZR100,ZR100,Text,Doppelte von 19,Single,38,"Was ist das Doppelte von 19?","Double of 19?",basic_strategy_10 combined_strategy_17,,Doubling near-decade,
146,8_Zahlenblick,8e_DoppelteZR100,ZR100,Text,Doppelte von 25,Single,50,"Was ist das Doppelte von 25?","Double of 25?",combined_strategy_17,,Doubling with crossing,
147,8_Zahlenblick,8e_DoppelteZR100,ZR100,Text,Doppelte von 60,Single,120,"Was ist das Doppelte von 60?","Double of 60?",basic_strategy_10 combined_strategy_17,,Doubling decade > 100,
148,8_Zahlenblick,8e_HaelfteZR100,ZR100,Text,Hälfte von 50,Single,25,"Was ist die Hälfte von 50?","Half of 50?",basic_strategy_14 combined_strategy_18,,Half decade,
149,8_Zahlenblick,8e_HaelfteZR100,ZR100,Text,Hälfte von 32,Single,16,"Was ist die Hälfte von 32?","Half of 32?",combined_strategy_18,,Half 2-digit non-decade,
150,8_Zahlenblick,8e_HaelfteZR100,ZR100,Text,Hälfte von 70,Single,35,"Was ist die Hälfte von 70?","Half of 70?",basic_strategy_14 combined_strategy_18,,Half 70 (decomposition needed),
151,8_Zahlenblick,8e_HaelfteZR100,ZR1000,Text,Hälfte von 140,Single,70,"Was ist die Hälfte von 140?","Half of 140?",combined_strategy_18,,Half ZR1000 (analogy),
